observation_date,BROH39M647NCEN
2001-01-01,630057
2001-02-01,618934
2001-03-01,645296
2001-04-01,644531
2001-05-01,648599
2001-06-01,649113
2001-07-01,664752
2001-08-01,664210
2001-09-01,667234
2001-10-01,692533
2001-11-01,691007
2001-12-01,722426
2002-01-01,719549
2002-02-01,719372
2002-03-01,744274
2002-04-01,747336
2002-05-01,745895
2002-06-01,745694
2002-07-01,758750
2002-08-01,755179
2002-09-01,774138
2002-10-01,783188
2002-11-01,805933
2002-12-01,843654
2003-01-01,842673
2003-02-01,837072
2003-03-01,861251
2003-04-01,854973
2003-05-01,871824
2003-06-01,888788
2003-07-01,886435
2003-08-01,886654
2003-09-01,902372
2003-10-01,903658
2003-11-01,903821
2003-12-01,937731
2004-01-01,932221
2004-02-01,935554
2004-03-01,957904
2004-04-01,950493
2004-05-01,958356
2004-06-01,967221
2004-07-01,961844
2004-08-01,969422
2004-09-01,966994
2004-10-01,975382
2004-11-01,983705
2004-12-01,997064
2005-01-01,1007914
2005-02-01,988560
2005-03-01,1018259
2005-04-01,1006365
2005-05-01,1023603
2005-06-01,1010979
2005-07-01,1014775
2005-08-01,1029376
2005-09-01,1030714
2005-10-01,1041695
2005-11-01,1041960
2005-12-01,1055644
2006-01-01,1051528
2006-02-01,1041075
2006-03-01,1056389
2006-04-01,1046448
2006-05-01,1069641
2006-06-01,1074637
2006-07-01,1089873
2006-08-01,1073612
2006-09-01,1065764
2006-10-01,1068748
2006-11-01,1062089
2006-12-01,1074047
2007-01-01,1074737
2007-02-01,1054734
2007-03-01,1067689
2007-04-01,1067102
2007-05-01,1081748
2007-06-01,1088223
2007-07-01,1090411
2007-08-01,1098232
2007-09-01,1093405
2007-10-01,1109676
2007-11-01,1114120
2007-12-01,1128005
2008-01-01,1139495
2008-02-01,1126397
2008-03-01,1142836
2008-04-01,1152412
2008-05-01,1160225
2008-06-01,1169351
2008-07-01,1174333
2008-08-01,1178935
2008-09-01,1215346
2008-10-01,1208500
2008-11-01,1223762
2008-12-01,1264803
2009-01-01,1287349
2009-02-01,1307285
2009-03-01,1343251
2009-04-01,1367343
2009-05-01,1401927
2009-06-01,1442644
2009-07-01,1456145
2009-08-01,1481385
2009-09-01,1504550
2009-10-01,1519305
2009-11-01,1542230
2009-12-01,1576682
2010-01-01,1579716
2010-02-01,1580984
2010-03-01,1604132
2010-04-01,1611878
2010-05-01,1620244
2010-06-01,1646418
2010-07-01,1652927
2010-08-01,1670671
2010-09-01,1683877
2010-10-01,1710948
2010-11-01,1772608
2010-12-01,1795578
2011-01-01,1805861
2011-02-01,1807165
2011-03-01,1830051
2011-04-01,1801679
2011-05-01,1781487
2011-06-01,1767340
2011-07-01,1756228
2011-08-01,1765519
2011-09-01,1756380
2011-10-01,1766584
2011-11-01,1793380
2011-12-01,1816920
2012-01-01,1827815
2012-02-01,1830187
2012-03-01,1842315
2012-04-01,1824217
2012-05-01,1803697
2012-06-01,1790955
2012-07-01,1787925
2012-08-01,1787919
2012-09-01,1779101
2012-10-01,1804887
2012-11-01,1816409
2012-12-01,1832777
2013-01-01,1845325
2013-02-01,1837229
2013-03-01,1853963
2013-04-01,1844692
2013-05-01,1830161
2013-06-01,1815695
2013-07-01,1813874
2013-08-01,1802036
2013-09-01,1799050
2013-10-01,1799770
2013-11-01,1787984
2013-12-01,1799993
2014-01-01,1775855
2014-02-01,1757718
2014-03-01,1760557
2014-04-01,1750373
2014-05-01,1735294
2014-06-01,1730818
2014-07-01,1719027
2014-08-01,1706254
2014-09-01,1701979
2014-10-01,1700025
2014-11-01,1697147
2014-12-01,1710427
2015-01-01,1690273
2015-02-01,1680384
2015-03-01,1691441
2015-04-01,1671103
2015-05-01,1656797
2015-06-01,1659826
2015-07-01,1648146
2015-08-01,1638850
2015-09-01,1631559
